"ItemNumber","Supplier","SupplierName","Month","MrpPlannedQty","SupplierSchedQty","Delta","CoverageRatio","Status","InsightCategory","Priority","Recommendation","PotentialImpact","SafetyStock","StandardPack","TransportDays","Planner"
"108363-20_M","393400","","2026-11","0","600","-600","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 600 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_N","393400","Coats Turkiye Iplik Sanayii ","2025-12","0","1500000","-1500000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1500000 but MRP is unaware. Risk of surprise shortage.","2000","1","0.0000000000","adordem"
"108363-20_N","393400","Coats Turkiye Iplik Sanayii ","2026-02","0","100000","-100000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 100000 but MRP is unaware. Risk of surprise shortage.","2000","1","0.0000000000","adordem"
"108363-20_N","393400","Coats Turkiye Iplik Sanayii ","2026-03","0","1500000","-1500000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1500000 but MRP is unaware. Risk of surprise shortage.","2000","1","0.0000000000","adordem"
"108363-20_N","393400","Coats Turkiye Iplik Sanayii ","2026-04","1150859","0","1150859",,"MRP_Extra","POTENTIAL_OVERSTOCK","High","MRP plans 1150859 but no supplier schedule. Verify if demand is real or if supplier release is missing.","Risk of excess inventory if demand is not confirmed.","2000","1","0.0000000000","adordem"
"108363-20_O","300179","","2025-12","0","70000","-70000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 70000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_O","300179","","2026-01","0","70000","-70000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 70000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_O","300179","","2026-02","0","70000","-70000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 70000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_O","300179","","2026-03","0","70000","-70000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 70000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_TR","300179","Amann und Soehne GmbH und Co","2026-03","384000","360000","24000","1.067","Covered_or_Over","ALIGNED","OK","MRP and supplier schedule are well aligned.","No action needed.","10000","24000","7.0000000000","abozicsu"
"108363-20_TR","300179","Amann und Soehne GmbH und Co","2026-04","360000","408000","-48000","0.882","Short","UNDER_PLANNED","Medium","Minor undercoverage. May be timing difference or rounding.","Small gap of 48000 units, likely acceptable.","10000","24000","7.0000000000","abozicsu"
"108363-20_TR","300179","Amann und Soehne GmbH und Co","2026-05","576000","528000","48000","1.091","Covered_or_Over","ALIGNED","OK","MRP and supplier schedule are well aligned.","No action needed.","10000","24000","7.0000000000","abozicsu"
"108363-20_TR","300179","Amann und Soehne GmbH und Co","2026-06","120000","312000","-192000","0.385","Short","UNDER_PLANNED","Critical","MRP covers less than 50% of supplier schedule. Review demand source, BOM explosion, or horizon settings.","Risk of stockout. Supplier expects 312000 but MRP only plans 120000.","10000","24000","7.0000000000","abozicsu"
"108363-20_TR","300179","Amann und Soehne GmbH und Co","2026-07","0","288000","-288000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 288000 but MRP is unaware. Risk of surprise shortage.","10000","24000","7.0000000000","abozicsu"
"108363-20_TR","300179","Amann und Soehne GmbH und Co","2026-08","0","648000","-648000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 648000 but MRP is unaware. Risk of surprise shortage.","10000","24000","7.0000000000","abozicsu"
"108363-20_TR","300179","Amann und Soehne GmbH und Co","2026-09","0","528000","-528000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 528000 but MRP is unaware. Risk of surprise shortage.","10000","24000","7.0000000000","abozicsu"
"108363-20_TR","300179","Amann und Soehne GmbH und Co","2026-10","0","408000","-408000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 408000 but MRP is unaware. Risk of surprise shortage.","10000","24000","7.0000000000","abozicsu"
"108363-20_TR","300179","Amann und Soehne GmbH und Co","2026-11","0","48000","-48000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 48000 but MRP is unaware. Risk of surprise shortage.","10000","24000","7.0000000000","abozicsu"
"108363-20_TS","300179","Amann und Soehne GmbH und Co","2026-02","0","1000000","-1000000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1000000 but MRP is unaware. Risk of surprise shortage.","20000","1","0.0000000000","abozicsu"
"108363-20_TS","300179","Amann und Soehne GmbH und Co","2026-03","579687","1000000","-420313","0.58","Short","UNDER_PLANNED","High","MRP undercoverage. Check if all customer schedules are loaded and BOM is complete.","Potential supply gap of 420313 units.","20000","1","0.0000000000","abozicsu"
"108363-20_TS","300179","Amann und Soehne GmbH und Co","2026-04","724101","1000000","-275899","0.724","Short","UNDER_PLANNED","High","MRP undercoverage. Check if all customer schedules are loaded and BOM is complete.","Potential supply gap of 275899 units.","20000","1","0.0000000000","abozicsu"
"108363-20_TS","300179","Amann und Soehne GmbH und Co","2026-05","689927","0","689927",,"MRP_Extra","POTENTIAL_OVERSTOCK","High","MRP plans 689927 but no supplier schedule. Verify if demand is real or if supplier release is missing.","Risk of excess inventory if demand is not confirmed.","20000","1","0.0000000000","abozicsu"
"108363-20_TS","300179","Amann und Soehne GmbH und Co","2026-06","218243","1000000","-781757","0.218","Short","UNDER_PLANNED","Critical","MRP covers less than 50% of supplier schedule. Review demand source, BOM explosion, or horizon settings.","Risk of stockout. Supplier expects 1000000 but MRP only plans 218243.","20000","1","0.0000000000","abozicsu"
"108363-20_TS","300179","Amann und Soehne GmbH und Co","2026-08","0","1000000","-1000000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1000000 but MRP is unaware. Risk of surprise shortage.","20000","1","0.0000000000","abozicsu"
"108363-20_TS","300179","Amann und Soehne GmbH und Co","2026-09","0","1000000","-1000000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1000000 but MRP is unaware. Risk of surprise shortage.","20000","1","0.0000000000","abozicsu"
"108363-20_TS","300179","Amann und Soehne GmbH und Co","2026-10","0","1000000","-1000000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1000000 but MRP is unaware. Risk of surprise shortage.","20000","1","0.0000000000","abozicsu"
"108363-20_TS","300179","Amann und Soehne GmbH und Co","2026-11","0","1000000","-1000000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1000000 but MRP is unaware. Risk of surprise shortage.","20000","1","0.0000000000","abozicsu"
"108363-20_WR","393440","Gütermann GmbH","2026-02","264958","0","264958",,"MRP_Extra","POTENTIAL_OVERSTOCK","High","MRP plans 264958 but no supplier schedule. Verify if demand is real or if supplier release is missing.","Risk of excess inventory if demand is not confirmed.","300000","1","0.0000000000","abozicsu"
"108363-20_WR","393440","Gütermann GmbH","2026-03","1218674","1200000","18674","1.016","Covered_or_Over","ALIGNED","OK","MRP and supplier schedule are well aligned.","No action needed.","300000","1","0.0000000000","abozicsu"
"108363-20_WR","393440","Gütermann GmbH","2026-04","1038019","1200000","-161981","0.865","Short","UNDER_PLANNED","Medium","Minor undercoverage. May be timing difference or rounding.","Small gap of 161981 units, likely acceptable.","300000","1","0.0000000000","abozicsu"
"108363-20_WR","393440","Gütermann GmbH","2026-05","1087405","1200000","-112595","0.906","Short","UNDER_PLANNED","Medium","Minor undercoverage. May be timing difference or rounding.","Small gap of 112595 units, likely acceptable.","300000","1","0.0000000000","abozicsu"
"108363-20_WR","393440","Gütermann GmbH","2026-06","334598","2400000","-2065402","0.139","Short","UNDER_PLANNED","Critical","MRP covers less than 50% of supplier schedule. Review demand source, BOM explosion, or horizon settings.","Risk of stockout. Supplier expects 2400000 but MRP only plans 334598.","300000","1","0.0000000000","abozicsu"
"108363-20_WR","393440","Gütermann GmbH","2026-08","0","1200000","-1200000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1200000 but MRP is unaware. Risk of surprise shortage.","300000","1","0.0000000000","abozicsu"
"108363-20_WR","393440","Gütermann GmbH","2026-09","0","1200000","-1200000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1200000 but MRP is unaware. Risk of surprise shortage.","300000","1","0.0000000000","abozicsu"
"108363-20_WR","393440","Gütermann GmbH","2026-10","0","1200000","-1200000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1200000 but MRP is unaware. Risk of surprise shortage.","300000","1","0.0000000000","abozicsu"
"108363-2C_D","300179","","2026-04","0","25","-25","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 25 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-4C_D","300179","","2026-04","0","2","-2","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 2 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-4S_D","300179","","2026-04","0","3","-3","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 3 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-5C_D","300179","","2026-04","0","4","-4","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 4 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-6C_D","300179","","2026-04","0","5","-5","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 5 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-7A_D","300179","","2026-04","0","27","-27","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 27 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-7C_D","300179","","2026-04","0","6","-6","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 6 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-7C_M","393400","","2025-12","0","100000","-100000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 100000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-A01_M","393400","","2026-09","0","13000","-13000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 13000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-A01_M","393400","","2026-10","0","8500","-8500","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 8500 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-A02_M","393400","","2026-08","0","1000","-1000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-A02_M","393400","","2026-09","0","116000","-116000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 116000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-A02_M","393400","","2026-10","0","43000","-43000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 43000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-A36_D","300179","","2026-04","0","28","-28","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 28 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-A37_D","300179","","2026-04","0","29","-29","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 29 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-AH_D","300179","","2026-04","0","7","-7","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 7 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-GM_M","393400","","2026-04","0","320700","-320700","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 320700 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-GM_M","393400","","2026-05","0","438300","-438300","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 438300 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-GM_M","393400","","2026-06","0","93700","-93700","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 93700 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-GM_M","393400","","2026-07","0","612000","-612000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 612000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-GM_M","393400","","2026-09","0","778400","-778400","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 778400 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-GM_M","393400","","2026-10","0","192500","-192500","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 192500 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-IS_D","300179","","2026-04","0","8","-8","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 8 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-IY_D","300179","","2026-04","0","9","-9","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 9 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-JE_D","300179","","2026-04","0","10","-10","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 10 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-OW_M","393400","","2026-02","0","20000","-20000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 20000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-OW_M","393400","","2026-03","0","400000","-400000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 400000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-OW_M","393400","","2026-05","0","238000","-238000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 238000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-OW_M","393400","","2026-06","0","166000","-166000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 166000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-OW_M","393400","","2026-07","0","255000","-255000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 255000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-OW_M","393400","","2026-08","0","235400","-235400","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 235400 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-OW_M","393400","","2026-09","0","223000","-223000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 223000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-OW_M","393400","","2026-10","0","81000","-81000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 81000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-P2_N","393400","Coats Turkiye Iplik Sanayii ","2025-12","0","100000","-100000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 100000 but MRP is unaware. Risk of surprise shortage.","100000","1","0.0000000000","adordem"
"108363-Y5_D","300179","","2026-04","0","11","-11","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 11 but MRP is unaware. Risk of surprise shortage.","","","",""
"108871-N_N","407418","REFIMA s. r. o.","2026-03","0","10000","-10000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 10000 but MRP is unaware. Risk of surprise shortage.","0","1","0.0000000000","adordem"
"109348-025_C","401580","","2026-03","0","53000","-53000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 53000 but MRP is unaware. Risk of surprise shortage.","","","",""
"109348-027_C","401580","","2026-03","0","53000","-53000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 53000 but MRP is unaware. Risk of surprise shortage.","","","",""
"109348-20_RS","393400","Coats Turkiye Iplik Sanayii ","2026-01","0","30000","-30000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 30000 but MRP is unaware. Risk of surprise shortage.","30000","1","0.0000000000","anikodd"
"109348-L4_RS","393400","Coats Turkiye Iplik Sanayii ","2025-12","11142","0","11142",,"MRP_Extra","POTENTIAL_OVERSTOCK","Medium","MRP has demand but supplier schedule is empty. May need to send release to supplier.","Supplier may not be expecting this order. Confirm and release.","10000","1","0.0000000000","anikodd"
"109348-L4_RS","393400","Coats Turkiye Iplik Sanayii ","2026-01","0","30000","-30000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 30000 but MRP is unaware. Risk of surprise shortage.","10000","1","0.0000000000","anikodd"
"109348-VC_RS","393400","Coats Turkiye Iplik Sanayii ","2025-12","70000","0","70000",,"MRP_Extra","POTENTIAL_OVERSTOCK","Medium","MRP has demand but supplier schedule is empty. May need to send release to supplier.","Supplier may not be expecting this order. Confirm and release.","100000","1","0.0000000000","anikodd"
"109348-ZA_RS","393400","Coats Turkiye Iplik Sanayii ","2025-12","10386","0","10386",,"MRP_Extra","POTENTIAL_OVERSTOCK","Medium","MRP has demand but supplier schedule is empty. May need to send release to supplier.","Supplier may not be expecting this order. Confirm and release.","10000","1","0.0000000000","anikodd"
"109348-ZA_RS","393400","Coats Turkiye Iplik Sanayii ","2026-01","0","30000","-30000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 30000 but MRP is unaware. Risk of surprise shortage.","10000","1","0.0000000000","anikodd"
"112283-N_L","320907","","2025-12","0","5000","-5000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 5000 but MRP is unaware. Risk of surprise shortage.","","","",""
"112283-N_L","320907","","2026-02","0","5000","-5000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 5000 but MRP is unaware. Risk of surprise shortage.","","","",""
